001  00421 |Loss: 1.967 | Acc: 33.000% 
001  00422 |Loss: 1.966 | Acc: 33.000% 
001  00423 |Loss: 1.964 | Acc: 33.000% 
001  00424 |Loss: 1.963 | Acc: 33.000% 
001  00425 |Loss: 1.962 | Acc: 33.000% 
001  00426 |Loss: 1.964 | Acc: 33.000% 
001  00427 |Loss: 1.964 | Acc: 33.000% 
001  00428 |Loss: 1.964 | Acc: 33.000% 
001  00429 |Loss: 1.961 | Acc: 33.000% 
001  00430 |Loss: 1.959 | Acc: 33.000% 
001  00431 |Loss: 1.961 | Acc: 33.000% 
001  00432 |Loss: 1.962 | Acc: 33.000% 
001  00433 |Loss: 1.961 | Acc: 33.000% 
001  00434 |Loss: 1.959 | Acc: 33.000% 
001  00435 |Loss: 1.959 | Acc: 33.000% 
001  00436 |Loss: 1.959 | Acc: 33.000% 
001  00437 |Loss: 1.958 | Acc: 33.000% 
001  00438 |Loss: 1.957 | Acc: 32.000% 
001  00439 |Loss: 1.956 | Acc: 32.000% 
001  00440 |Loss: 1.956 | Acc: 32.000% 
001  00441 |Loss: 1.956 | Acc: 32.000% 
001  00442 |Loss: 1.954 | Acc: 32.000% 
001  00443 |Loss: 1.952 | Acc: 32.000% 
001  00444 |Loss: 1.951 | Acc: 32.000% 
001  00445 |Loss: 1.950 | Acc: 32.000% 
001  00446 |Loss: 1.950 | Acc: 32.000% 
001  00447 |Loss: 1.950 | Acc: 32.000% 
001  00448 |Loss: 1.948 | Acc: 32.000% 
001  00449 |Loss: 1.947 | Acc: 32.000% 
001  00450 |Loss: 1.944 | Acc: 33.000% 
001  00451 |Loss: 1.942 | Acc: 33.000% 
001  00452 |Loss: 1.942 | Acc: 33.000% 
001  00453 |Loss: 1.940 | Acc: 33.000% 
001  00454 |Loss: 1.939 | Acc: 33.000% 
001  00455 |Loss: 1.938 | Acc: 33.000% 
001  00456 |Loss: 1.936 | Acc: 33.000% 
001  00457 |Loss: 1.941 | Acc: 33.000% 
001  00458 |Loss: 1.940 | Acc: 33.000% 
001  00459 |Loss: 1.941 | Acc: 33.000% 
001  00460 |Loss: 1.940 | Acc: 33.000% 
001  00461 |Loss: 1.939 | Acc: 33.000% 
001  00462 |Loss: 1.938 | Acc: 33.000% 
001  00463 |Loss: 1.938 | Acc: 33.000% 
001  00464 |Loss: 1.936 | Acc: 33.000% 
001  00465 |Loss: 1.936 | Acc: 33.000% 
001  00466 |Loss: 1.937 | Acc: 33.000% 
001  00467 |Loss: 1.936 | Acc: 33.000% 
001  00468 |Loss: 1.935 | Acc: 33.000% 
001  00469 |Loss: 1.935 | Acc: 33.000% 
001  00470 |Loss: 1.934 | Acc: 33.000% 
001  00471 |Loss: 1.934 | Acc: 33.000% 
001  00472 |Loss: 1.933 | Acc: 33.000% 
001  00473 |Loss: 1.932 | Acc: 33.000% 
001  00474 |Loss: 1.931 | Acc: 33.000% 
001  00475 |Loss: 1.931 | Acc: 33.000% 
001  00476 |Loss: 1.932 | Acc: 33.000% 
001  00477 |Loss: 1.931 | Acc: 33.000% 
001  00478 |Loss: 1.932 | Acc: 33.000% 
001  00479 |Loss: 1.931 | Acc: 33.000% 
001  00480 |Loss: 1.931 | Acc: 33.000% 
001  00481 |Loss: 1.930 | Acc: 33.000% 
001  00482 |Loss: 1.928 | Acc: 33.000% 
001  00483 |Loss: 1.927 | Acc: 33.000% 
001  00484 |Loss: 1.926 | Acc: 33.000% 
001  00485 |Loss: 1.924 | Acc: 33.000% 
001  00486 |Loss: 1.925 | Acc: 33.000% 
001  00487 |Loss: 1.923 | Acc: 33.000% 
